iter	Passed	Remaining
365	2418	4190
366	2426	4185
367	2433	4178
368	2438	4170
369	2444	4161
370	2449	4153
371	2455	4145
372	2461	4136
373	2466	4128
374	2472	4120
375	2478	4112
376	2483	4103
377	2489	4095
378	2494	4086
379	2499	4078
380	2505	4070
381	2510	4061
382	2516	4053
383	2521	4045
384	2527	4037
385	2533	4029
386	2538	4021
387	2544	4013
388	2549	4004
389	2555	3996
390	2560	3988
391	2566	3979
392	2572	3972
393	2578	3965
394	2584	3958
395	2590	3950
396	2595	3942
397	2601	3934
398	2606	3926
399	2612	3918
400	2617	3910
401	2623	3902
402	2629	3895
403	2636	3890
404	2644	3884
405	2650	3877
406	2657	3871
407	2665	3867
408	2671	3859
409	2678	3854
410	2685	3848
411	2691	3841
412	2697	3834
413	2703	3826
414	2709	3818
415	2715	3811
416	2720	3803
417	2726	3796
418	2733	3789
419	2739	3782
420	2744	3774
421	2750	3766
422	2755	3758
423	2761	3751
424	2767	3744
425	2774	3738
426	2781	3732
427	2787	3725
428	2794	3719
429	2800	3711
430	2805	3703
431	2811	3696
432	2816	3688
433	2822	3680
434	2828	3673
435	2834	3666
436	2839	3658
437	2846	3652
438	2851	3644
439	2857	3636
440	2863	3629
441	2869	3622
442	2875	3615
443	2882	3609
444	2888	3602
445	2894	3594
446	2899	3587
447	2905	3580
448	2911	3572
449	2917	3565
450	2922	3557
451	2928	3550
452	2933	3542
453	2939	3534
454	2944	3527
455	2950	3519
456	2956	3512
457	2961	3505
458	2967	3497
459	2973	3491
460	2979	3483
461	2984	3475
462	2989	3467
463	2995	3460
464	3000	3452
465	3008	3447
466	3016	3443
467	3026	3439
468	3033	3434
469	3041	3429
470	3048	3423
471	3053	3416
472	3059	3409
473	3064	3401
474	3070	3394
475	3076	3386
476	3081	3378
477	3087	3371
478	3092	3363
479	3097	3355
480	3103	3348
481	3108	3340
482	3114	3333
483	3121	3328
484	3128	3321
485	3133	3313
486	3138	3306
487	3144	3298
488	3150	3292
489	3155	3284
490	3160	3276
491	3166	3269
492	3171	3261
493	3176	3254
494	3182	3246
495	3188	3239
496	3194	3232
497	3199	3225
498	3205	3218
499	3211	3211
500	3219	3207
501	3227	3201
502	3232	3193
503	3237	3186
504	3243	3178
505	3248	3171
506	3253	3164
507	3259	3156
508	3264	3149
509	3270	3141
510	3275	3134
511	3281	3127
512	3286	3119
513	3291	3112
514	3297	3105
515	3302	3097
516	3307	3090
517	3312	3082
518	3318	3075
519	3324	3068
520	3329	3061
521	3335	3054
522	3341	3047
523	3347	3040
524	3352	3033
525	3357	3026
526	3363	3018
527	3368	3011
528	3374	3004
529	3379	2997
530	3385	2989
531	3390	2982
532	3396	2975
533	3401	2968
534	3407	2961
535	3412	2954
536	3417	2946
537	3423	2939
538	3428	2932
539	3433	2925
540	3439	2918
541	3444	2910
542	3450	2903
543	3455	2896
544	3461	2889
545	3466	2882
546	3471	2875
547	3477	2868
548	3482	2861
549	3488	2853
550	3493	2846
551	3499	2839
552	3505	2833
553	3511	2827
554	3518	2820
555	3524	2814
556	3530	2807
557	3535	2800
558	3541	2793
559	3546	2786
560	3552	2780
561	3558	2773
562	3564	2766
563	3570	2760
564	3576	2753
565	3582	2747
566	3588	2740
567	3594	2734
568	3601	2727
569	3607	2721
570	3613	2714
571	3619	2708
572	3625	2701
573	3631	2695
574	3637	2688
575	3644	2682
576	3651	2677
577	3663	2674
578	3675	2672
579	3682	2666
580	3689	2660
581	3695	2653
582	3700	2647
583	3706	2640
584	3712	2633
585	3718	2627
586	3724	2620
587	3730	2614
588	3736	2607
589	3742	2600
590	3747	2593
591	3755	2588
592	3761	2581
593	3766	2574
594	3772	2567
595	3778	2561
596	3784	2554
597	3790	2547
598	3796	2541
599	3802	2534
600	3808	2528
601	3814	2521
602	3819	2514
603	3825	2508
604	3833	2502
605	3841	2497
606	3850	2492
607	3862	2490
608	3872	2486
609	3879	2480
610	3887	2474
611	3893	2468
612	3899	2462
613	3906	2455
614	3912	2449
615	3918	2442
616	3923	2435
617	3929	2429
618	3935	2422
619	3942	2416
620	3947	2409
621	3953	2402
622	3959	2396
623	3966	2389
624	3971	2382
625	3978	2376
626	3984	2370
627	3990	2363
628	3996	2357
629	4002	2350
630	4009	2344
631	4015	2338
632	4021	2331
633	4027	2324
634	4033	2318
635	4039	2311
636	4046	2306
637	4054	2300
638	4062	2295
639	4071	2290
640	4081	2285
641	4094	2283
642	4104	2278
643	4111	2272
644	4117	2266
645	4125	2260
646	4132	2254
647	4139	2248
648	4146	2242
649	4153	2236
650	4161	2230
651	4168	2224
652	4178	2220
653	4185	2214
654	4193	2208
655	4200	2202
656	4209	2197
657	4220	2193
658	4229	2188
659	4237	2183
660	4244	2176
661	4251	2170
662	4257	2164
663	4265	2158
664	4275	2153
665	4283	2148
666	4290	2142
667	4296	2135
668	4302	2128
669	4309	2122
670	4314	2115
671	4321	2109
672	4329	2103
673	4336	2097
674	4346	2092
675	4357	2088
676	4365	2082
677	4372	2076
678	4379	2070
679	4386	2064
680	4392	2057
681	4398	2050
682	4404	2044
683	4410	2037
684	4417	2031
685	4423	2024
686	4429	2018
687	4435	2011
688	4443	2005
689	4451	1999
690	4459	1994
691	4471	1990
692	4480	1984
693	4487	1978
694	4493	1972
695	4502	1966
696	4509	1960
697	4515	1953
698	4521	1947
699	4528	1940
700	4534	1934
701	4540	1927
702	4546	1920
703	4552	1913
704	4558	1907
705	4565	1901
706	4572	1895
707	4579	1888
708	4586	1882
709	4592	1875
710	4598	1869
711	4605	1862
712	4611	1856
713	4617	1849
714	4623	1842
715	4630	1836
716	4637	1830
717	4646	1824
718	4657	1820
719	4665	1814
720	4672	1808
721	4679	1801
722	4685	1795
723	4690	1788
724	4697	1781
725	4703	1774
726	4708	1768
727	4714	1761
728	4720	1754
729	4726	1748
730	4732	1741
731	4738	1735
732	4745	1728
733	4751	1722
734	4758	1715
735	4765	1709
736	4771	1702
737	4777	1695
738	4783	1689
739	4789	1682
740	4796	1676
741	4803	1670
742	4809	1663
743	4815	1657
744	4822	1650
745	4828	1644
746	4834	1637
747	4840	1630
748	4847	1624
749	4853	1617
750	4859	1611
751	4867	1605
752	4874	1599
753	4881	1592
754	4889	1586
755	4896	1580
756	4902	1573
757	4908	1567
758	4915	1560
759	4921	1554
760	4927	1547
761	4934	1541
762	4940	1534
763	4946	1527
764	4952	1521
765	4959	1514
766	4965	1508
767	4971	1501
768	4977	1495
769	4983	1488
770	4989	1482
771	4995	1475
772	5002	1469
773	5009	1462
774	5015	1456
775	5021	1449
776	5028	1443
777	5034	1436
778	5041	1430
779	5047	1423
780	5054	1417
781	5059	1410
782	5066	1404
783	5072	1397
784	5078	1390
785	5085	1384
786	5091	1378
787	5098	1371
788	5105	1365
789	5112	1358
790	5119	1352
791	5128	1346
792	5137	1341
793	5147	1335
794	5155	1329
795	5161	1322
796	5167	1316
797	5174	1309
798	5180	1303
799	5186	1296
800	5192	1290
801	5199	1283
802	5205	1276
803	5211	1270
804	5217	1263
805	5224	1257
806	5230	1250
807	5236	1244
808	5243	1237
809	5250	1231
810	5258	1225
811	5267	1219
812	5278	1214
813	5286	1208
814	5295	1201
815	5301	1195
816	5308	1189
817	5315	1182
818	5321	1176
819	5327	1169
820	5333	1162
821	5339	1156
822	5345	1149
823	5351	1142
824	5357	1136
825	5363	1129
826	5370	1123
827	5376	1116
828	5383	1110
829	5389	1103
830	5396	1097
831	5402	1090
832	5409	1084
833	5415	1077
834	5421	1071
835	5427	1064
836	5433	1058
837	5439	1051
838	5445	1044
839	5451	1038
840	5457	1031
841	5466	1025
842	5473	1019
843	5480	1012
844	5486	1006
845	5493	999
846	5499	993
847	5505	986
848	5511	980
849	5517	973
850	5524	967
851	5530	960
852	5536	954
853	5543	947
854	5549	941
855	5554	934
856	5561	927
857	5567	921
858	5574	914
859	5580	908
860	5586	901
861	5593	895
862	5599	888
863	5605	882
864	5611	875
865	5617	869
866	5624	862
867	5630	856
868	5636	849
869	5643	843
870	5650	836
871	5657	830
872	5664	824
873	5672	817
874	5678	811
875	5684	804
876	5690	798
877	5697	791
878	5703	785
879	5709	778
880	5715	772
881	5721	765
882	5727	758
883	5733	752
884	5740	745
885	5746	739
886	5752	732
887	5758	726
888	5764	719
889	5771	713
890	5777	706
891	5784	700
892	5790	693
893	5797	687
894	5803	680
895	5809	674
896	5816	667
897	5822	661
898	5831	655
899	5841	649
900	5851	642
901	5858	636
902	5866	630
903	5873	623
904	5881	617
905	5888	610
906	5894	604
907	5900	597
908	5907	591
909	5913	584
910	5919	578
911	5924	571
912	5931	565
913	5937	558
914	5943	552
915	5949	545
916	5955	539
917	5961	532
918	5967	525
919	5973	519
920	5979	512
921	5985	506
922	5991	499
923	5999	493
924	6007	487
925	6014	480
926	6022	474
927	6028	467
928	6034	461
929	6040	454
930	6046	448
931	6052	441
932	6058	435
933	6065	428
934	6071	422
935	6076	415
936	6082	408
937	6087	402
938	6093	395
939	6099	389
940	6105	382
941	6111	376
942	6118	369
943	6124	363
944	6130	356
945	6137	350
946	6143	343
947	6149	337
948	6155	330
949	6163	324
950	6171	317
951	6179	311
952	6188	305
953	6196	298
954	6205	292
955	6214	286
956	6224	279
957	6232	273
958	6240	266
959	6249	260
960	6258	254
961	6266	247
962	6273	241
963	6281	234
964	6290	228
965	6301	221
966	6309	215
967	6316	208
968	6324	202
969	6330	195
970	6337	189
971	6344	182
972	6350	176
973	6358	169
974	6364	163
975	6371	156
976	6378	150
977	6384	143
978	6391	137
979	6397	130
980	6404	124
981	6410	117
982	6418	111
983	6427	104
984	6435	97
985	6444	91
986	6452	84
987	6459	78
988	6465	71
989	6472	65
990	6479	58
991	6485	52
992	6491	45
993	6497	39
994	6503	32
995	6509	26
996	6515	19
997	6522	13
998	6527	6
999	6534	0
