iter	Logloss
0	0.6444696257
1	0.6022401854
2	0.5649783718
3	0.5349665441
4	0.5068840559
5	0.4841480614
6	0.4628091081
7	0.4461347395
8	0.4301831841
9	0.4169790444
10	0.4052097227
11	0.3947323289
12	0.3859163672
13	0.3780385676
14	0.3705650577
15	0.3640114929
16	0.3586733311
17	0.3534400108
18	0.3492795997
19	0.3453646016
20	0.3410549851
21	0.3378657857
22	0.3351512882
23	0.3323532723
24	0.3300366048
25	0.3276011504
26	0.3256245953
27	0.3231329505
28	0.3210344584
29	0.3194477383
30	0.3179866973
31	0.3161362743
32	0.3144784168
33	0.3128447944
34	0.3116048417
35	0.3105767039
36	0.3094078009
37	0.3085330744
38	0.3075426036
39	0.3066676635
40	0.3056648402
41	0.3046709868
42	0.3038107128
43	0.3031886564
44	0.3025252058
45	0.3017424138
46	0.3009951687
47	0.3003165096
48	0.299679
49	0.2990012796
50	0.298395772
51	0.297929028
52	0.2973119246
53	0.2968208851
54	0.2963572958
55	0.2958407878
56	0.2954033267
57	0.2949101977
58	0.2943394878
59	0.2937557679
60	0.2931964006
61	0.2928451136
62	0.2923505924
63	0.292009411
64	0.2916358901
65	0.2912016332
66	0.2908417074
67	0.2904106364
68	0.2899615901
69	0.2895562978
70	0.2893235642
71	0.2890479386
72	0.288739811
73	0.2884116574
74	0.2881497297
75	0.2878174071
76	0.2874990657
77	0.2871499092
78	0.2869531585
79	0.2867381234
80	0.286467079
81	0.2862096839
82	0.2858890998
83	0.2856453671
84	0.2854062847
85	0.2851058534
86	0.2848018864
87	0.2845404589
88	0.2842719183
89	0.284057872
90	0.283859493
91	0.2836426662
92	0.2834272803
93	0.283253893
94	0.2830715914
95	0.2827618488
96	0.2825592131
97	0.2823056708
98	0.2820925454
99	0.2818716307
100	0.2816592088
101	0.2814247846
102	0.2812343697
103	0.2809831148
104	0.280799161
105	0.2805912151
106	0.2804328342
107	0.2802570933
108	0.2800378517
109	0.2798656954
110	0.2796893761
111	0.2795280844
112	0.2793372481
113	0.2791989681
114	0.2790443067
115	0.2789041374
116	0.2787282325
117	0.2785388137
118	0.2783071675
119	0.2781831636
120	0.2780652214
121	0.2779045562
122	0.2777317884
123	0.2775903955
124	0.2774643317
125	0.2773227845
126	0.2771554288
127	0.2769646312
128	0.2767954484
129	0.2766514082
130	0.2764845538
131	0.2763364711
132	0.2761909372
133	0.2760553724
134	0.2759147152
135	0.2757739207
136	0.2756391093
137	0.2754996376
138	0.275352851
139	0.2752137945
140	0.275085217
141	0.2749606984
142	0.2748509347
143	0.2747253015
144	0.2746289077
145	0.2744988827
146	0.2743767496
147	0.2742666992
148	0.2741397798
149	0.273999242
150	0.2738713687
151	0.2737641733
152	0.2736462506
153	0.2735241504
154	0.2734012335
155	0.2732838949
156	0.2731988603
157	0.2730727169
158	0.2729474744
159	0.2728423774
160	0.272727045
161	0.2726039924
162	0.2724972881
163	0.2723848926
164	0.2722663225
165	0.2721793956
166	0.2720716815
167	0.271960576
168	0.2718321379
169	0.2717215205
170	0.2716041195
171	0.2714718264
172	0.2713825706
173	0.2712695739
174	0.2711535527
175	0.2710343841
176	0.2709254608
177	0.2707833564
178	0.2706867208
179	0.2705396067
180	0.2703966391
181	0.2702621301
182	0.2701300522
183	0.2700061003
184	0.269888227
185	0.2697825872
186	0.269697548
187	0.2695873875
188	0.2694816268
189	0.2693767459
190	0.2692696417
191	0.2691672235
192	0.2690686884
193	0.2689558579
194	0.268866589
195	0.2687810046
196	0.2686643811
197	0.2685365387
198	0.2684198297
199	0.2683008903
200	0.2682082363
201	0.2680945482
202	0.2679958228
203	0.267890555
204	0.2677819535
205	0.267644167
206	0.2675132714
207	0.2674298104
208	0.2673388262
209	0.2672555629
210	0.2671347523
211	0.2670464402
212	0.2669355561
213	0.2667868624
214	0.2666743822
215	0.2665886198
216	0.2664915508
217	0.2663666389
218	0.2662395184
219	0.2661516914
220	0.2660507092
221	0.2659574732
222	0.2658668267
223	0.2657533966
224	0.2656522956
225	0.2655741689
226	0.265460881
227	0.2653716359
228	0.2652380083
229	0.2651157168
230	0.2649866965
231	0.2648608001
232	0.2647529536
233	0.2646271201
234	0.2645121807
235	0.2644155175
236	0.2643190235
237	0.2642121173
238	0.264115881
239	0.2640200615
240	0.2639153116
241	0.2638072316
242	0.2637087526
243	0.2636133284
244	0.263505418
245	0.2634274311
246	0.2633161229
247	0.2632253353
248	0.2631128979
249	0.2630228577
250	0.2629319262
251	0.2628521638
252	0.262735801
253	0.2626547092
254	0.2625392385
255	0.2624600023
256	0.2623629236
257	0.2622639613
258	0.262159628
259	0.2620780678
260	0.2619543312
261	0.2618361815
262	0.2617249233
263	0.2616065441
264	0.2615445141
265	0.2614329859
266	0.261341075
267	0.2612469905
268	0.2611517976
269	0.2610692011
270	0.2609714578
271	0.260853245
272	0.2607719912
273	0.2606707357
274	0.2605906291
275	0.2605043079
276	0.2604040043
277	0.2603337648
278	0.2602435123
279	0.2601514972
280	0.260070306
281	0.2599665732
282	0.2598752946
283	0.2597855523
284	0.2597078303
285	0.2596122405
286	0.2595310805
287	0.2594553301
288	0.2593640444
289	0.2592571013
290	0.259147582
291	0.2590798007
292	0.2589870312
293	0.2588827248
294	0.2587812636
295	0.2586777363
296	0.2585890569
297	0.2585110708
298	0.2584315375
299	0.2583434697
300	0.2582385366
301	0.2581381805
302	0.2580414293
303	0.2579514207
304	0.2578754637
305	0.2577845723
306	0.2577140798
307	0.2576281088
308	0.2575547376
309	0.2574534077
310	0.257375278
311	0.2572722835
312	0.257189481
313	0.2571142309
314	0.2570291062
315	0.2569310832
316	0.2568375659
317	0.2567557209
318	0.2566719246
319	0.2565738873
320	0.2564803218
321	0.2563962984
322	0.2563283227
323	0.2562579652
324	0.2561597641
325	0.2560498661
